HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Man United,Fulham,1,0,0,0,7,8,2,3,0,0
Ipswich,Liverpool,0,2,0,0,2,10,3,1,0,0
Arsenal,Wolves,2,0,1,0,8,2,2,2,0,0
Everton,Brighton,0,3,0,1,1,5,1,1,1,0
Newcastle,Southampton,1,0,1,0,3,12,2,4,1,0
Nott'm Forest,Bournemouth,1,1,1,0,2,6,1,3,0,0
West Ham,Aston Villa,1,2,1,1,5,3,1,2,0,0
Brentford,Crystal Palace,2,1,1,0,4,7,1,5,0,0
Chelsea,Man City,0,2,0,1,4,3,1,1,0,0
Leicester,Tottenham,1,1,0,1,2,13,1,1,0,0
Brighton,Man United,2,1,1,0,4,4,1,2,0,0
Crystal Palace,West Ham,0,2,0,0,3,3,1,1,0,0
Fulham,Leicester,2,1,1,1,7,5,2,2,0,0
Man City,Ipswich,4,1,3,1,10,1,2,3,0,0
Southampton,Nott'm Forest,0,1,0,0,4,10,3,3,0,0
Tottenham,Everton,4,0,2,0,12,5,0,0,0,0
Aston Villa,Arsenal,0,2,0,0,4,1,1,3,0,0
Bournemouth,Newcastle,1,1,1,0,8,9,2,2,0,0
Wolves,Chelsea,2,6,2,2,5,5,2,3,0,0
Liverpool,Brentford,2,0,1,0,9,4,2,3,0,0
Arsenal,Brighton,1,1,1,0,3,7,3,2,1,0
Brentford,Southampton,3,1,1,0,2,8,2,1,0,0
Everton,Bournemouth,2,3,0,0,8,4,2,1,0,0
Ipswich,Fulham,1,1,1,1,8,6,2,3,0,0
Leicester,Aston Villa,1,2,0,1,1,4,4,5,0,0
Nott'm Forest,Wolves,1,1,1,1,7,3,3,4,0,0
West Ham,Man City,1,3,1,2,3,11,3,2,0,0
Chelsea,Crystal Palace,1,1,1,0,4,5,4,2,0,0
Newcastle,Tottenham,2,1,1,0,7,12,4,4,0,0
Man United,Liverpool,0,3,0,2,5,2,4,1,0,0
Southampton,Man United,0,3,0,2,0,7,1,4,1,0
Brighton,Ipswich,0,0,0,0,9,2,4,3,0,0
Crystal Palace,Leicester,2,2,0,1,5,2,0,3,0,0
Fulham,West Ham,1,1,1,0,3,2,2,3,0,0
Liverpool,Nott'm Forest,0,1,0,0,7,2,4,4,0,0
Man City,Brentford,2,1,2,1,12,3,3,1,0,0
Aston Villa,Everton,3,2,1,2,6,2,1,4,0,0
Bournemouth,Chelsea,0,1,0,0,6,3,6,8,0,0
Tottenham,Arsenal,0,1,0,0,7,6,5,3,0,0
Wolves,Newcastle,1,2,1,0,4,7,3,3,0,0
West Ham,Chelsea,0,3,0,2,6,5,5,2,0,0
Aston Villa,Wolves,3,1,0,1,6,5,3,6,0,0
Fulham,Newcastle,3,1,2,0,6,0,6,0,0,0
Leicester,Everton,1,1,0,1,6,1,1,2,0,0
Liverpool,Bournemouth,3,0,3,0,3,9,1,4,0,0
Southampton,Ipswich,1,1,1,0,2,10,4,4,0,0
Tottenham,Brentford,3,1,2,1,9,4,3,1,0,0
Crystal Palace,Man United,0,0,0,0,4,11,3,1,0,0
Brighton,Nott'm Forest,2,2,2,1,9,1,3,4,0,1
Man City,Arsenal,2,2,1,2,8,2,3,4,0,1
Newcastle,Man City,1,1,0,1,5,6,4,4,0,0
Arsenal,Leicester,4,2,2,0,17,0,2,4,0,0
Brentford,West Ham,1,1,1,0,7,7,2,3,0,0
Chelsea,Brighton,4,2,4,2,8,2,3,2,0,0
Everton,Crystal Palace,2,1,0,1,5,8,2,1,0,0
Nott'm Forest,Fulham,0,1,0,0,6,5,2,4,0,0
Wolves,Liverpool,1,2,0,1,2,10,2,3,0,0
Ipswich,Aston Villa,2,2,1,2,10,0,4,1,0,0
Man United,Tottenham,0,3,0,1,5,3,5,3,1,0
Bournemouth,Southampton,3,1,3,0,7,4,2,5,0,0
Crystal Palace,Liverpool,0,1,0,1,3,8,4,2,0,0
Arsenal,Southampton,3,1,0,0,13,1,0,3,0,0
Brentford,Wolves,5,3,4,2,10,3,2,3,0,0
Leicester,Bournemouth,1,0,1,0,0,9,4,1,0,0
Man City,Fulham,3,2,1,1,8,3,2,1,0,0
West Ham,Ipswich,4,1,2,1,5,5,0,1,0,0
Everton,Newcastle,0,0,0,0,0,10,1,2,0,0
Aston Villa,Man United,0,0,0,0,6,3,1,5,0,0
Chelsea,Nott'm Forest,1,1,0,0,11,3,6,2,0,1
Brighton,Tottenham,3,2,0,2,4,7,2,2,0,0
Tottenham,West Ham,4,1,1,1,13,5,1,3,0,1
Fulham,Aston Villa,1,3,1,1,6,11,3,3,1,1
Ipswich,Everton,0,2,0,2,5,8,1,1,0,0
Man United,Brentford,2,1,0,1,9,2,2,2,0,0
Newcastle,Brighton,0,1,0,1,9,4,2,2,0,0
Southampton,Leicester,2,3,2,0,10,6,5,3,1,0
Bournemouth,Arsenal,2,0,0,0,7,4,1,1,0,1
Wolves,Man City,1,2,1,1,1,18,4,1,0,0
Liverpool,Chelsea,2,1,1,0,1,6,4,3,0,0
Nott'm Forest,Crystal Palace,1,0,0,0,6,6,2,3,0,0
Leicester,Nott'm Forest,1,3,1,1,6,7,5,2,0,0
Aston Villa,Bournemouth,1,1,0,0,9,7,7,6,0,0
Brentford,Ipswich,4,3,2,2,5,5,0,1,0,1
Brighton,Wolves,2,2,1,0,9,6,3,3,0,0
Man City,Southampton,1,0,1,0,12,1,1,3,0,0
Everton,Fulham,1,1,0,0,4,2,1,0,0,0
Chelsea,Newcastle,2,1,1,1,7,4,6,3,0,0
Crystal Palace,Tottenham,1,0,1,0,8,8,4,4,0,0
West Ham,Man United,2,1,0,0,6,5,5,1,0,0
Arsenal,Liverpool,2,2,2,1,1,3,2,2,0,0
Newcastle,Arsenal,1,0,1,0,4,6,4,4,0,0
Bournemouth,Man City,2,1,1,0,3,10,2,1,0,0
Ipswich,Leicester,1,1,0,0,4,6,4,2,1,0
Liverpool,Brighton,2,1,0,1,10,7,1,1,0,0
Nott'm Forest,West Ham,3,0,1,0,11,6,1,2,0,1
Southampton,Everton,1,0,0,0,3,6,4,2,0,0
Wolves,Crystal Palace,2,2,0,0,3,6,1,2,0,0
Tottenham,Aston Villa,4,1,0,1,6,4,2,0,0,0
Man United,Chelsea,1,1,0,0,4,8,6,2,0,0
Fulham,Brentford,2,1,0,1,11,3,2,1,0,0
Brentford,Bournemouth,3,2,1,1,6,4,2,4,0,0
Crystal Palace,Fulham,0,2,0,1,1,8,1,1,1,0
West Ham,Everton,0,0,0,0,7,6,1,2,0,0
Wolves,Southampton,2,0,1,0,1,9,1,4,0,0
Brighton,Man City,2,1,0,1,0,4,3,3,0,0
Liverpool,Aston Villa,2,0,1,0,2,9,0,3,0,0
Man United,Leicester,3,0,2,0,1,5,0,1,0,0
Nott'm Forest,Newcastle,1,3,1,0,4,5,1,1,0,0
Tottenham,Ipswich,1,2,0,2,12,2,1,5,0,0
Chelsea,Arsenal,1,1,0,0,4,3,4,2,0,0
Leicester,Chelsea,1,2,0,1,2,9,4,3,0,0
Arsenal,Nott'm Forest,3,0,1,0,8,1,3,2,0,0
Aston Villa,Crystal Palace,2,2,1,2,10,1,3,2,0,0
Bournemouth,Brighton,1,2,0,1,7,0,2,2,0,1
Everton,Brentford,0,0,0,0,10,4,0,0,0,1
Fulham,Wolves,1,4,1,1,7,2,3,0,0,0
Man City,Tottenham,0,4,0,2,9,3,4,2,0,0
Southampton,Liverpool,2,3,1,1,3,10,3,4,0,0
Ipswich,Man United,1,1,1,1,4,3,0,0,0,0
Newcastle,West Ham,0,2,0,1,8,3,1,0,0,0
Brighton,Southampton,1,1,1,0,7,6,2,4,0,0
Brentford,Leicester,4,1,3,1,5,4,1,1,0,0
Crystal Palace,Newcastle,1,1,0,0,8,9,3,3,0,0
Nott'm Forest,Ipswich,1,0,0,0,8,7,1,3,0,0
Wolves,Bournemouth,2,4,1,3,3,4,4,1,0,0
West Ham,Arsenal,2,5,2,5,2,10,4,1,0,0
Chelsea,Aston Villa,3,0,2,0,3,4,2,2,0,0
Man United,Everton,4,0,2,0,2,2,2,3,0,0
Tottenham,Fulham,1,1,0,0,7,11,0,1,0,1
Liverpool,Man City,2,0,1,0,7,4,1,3,0,0
Ipswich,Crystal Palace,0,1,0,0,4,7,2,4,0,0
Leicester,West Ham,3,1,1,0,3,9,2,2,0,0
Everton,Wolves,4,0,2,0,3,4,2,0,0,0
Man City,Nott'm Forest,3,0,2,0,8,2,2,4,0,0
Newcastle,Liverpool,3,3,1,0,5,6,2,5,0,0
Southampton,Chelsea,1,5,1,3,5,7,1,0,1,0
Arsenal,Man United,2,0,0,0,13,0,1,3,0,0
Aston Villa,Brentford,3,1,3,0,10,5,2,2,0,0
Fulham,Brighton,3,1,1,0,5,6,2,2,0,0
Bournemouth,Tottenham,1,0,1,0,5,9,2,2,0,0
Aston Villa,Southampton,1,0,1,0,14,1,1,3,0,0
Brentford,Newcastle,4,2,2,2,3,4,3,0,0,0
Crystal Palace,Man City,2,2,1,1,6,8,1,0,0,1
Man United,Nott'm Forest,2,3,1,1,5,3,0,2,0,0
Fulham,Arsenal,1,1,1,0,0,6,4,2,0,0
Ipswich,Bournemouth,1,2,1,0,6,13,2,1,0,0
Leicester,Brighton,2,2,0,1,5,5,1,2,0,0
Tottenham,Chelsea,3,4,2,1,5,10,2,2,0,0
West Ham,Wolves,2,1,0,0,11,0,5,4,0,0
Arsenal,Everton,0,0,0,0,8,2,0,3,0,0
Liverpool,Fulham,2,2,0,1,5,4,3,4,1,0
Newcastle,Leicester,4,0,1,0,5,2,3,3,0,0
Wolves,Ipswich,1,2,0,1,7,3,0,2,1,0
Nott'm Forest,Aston Villa,2,1,0,0,4,3,0,1,0,0
Brighton,Crystal Palace,1,3,0,2,8,5,1,4,0,0
Man City,Man United,1,2,1,0,8,2,1,1,0,0
Chelsea,Brentford,2,1,1,0,8,5,0,2,1,0
Southampton,Tottenham,0,5,0,5,2,5,1,3,0,0
Bournemouth,West Ham,1,1,0,0,12,6,0,2,0,0
Aston Villa,Man City,2,1,1,0,5,4,3,3,0,0
Brentford,Nott'm Forest,0,2,0,1,9,5,3,4,0,0
Ipswich,Newcastle,0,4,0,3,2,1,2,0,0,0
West Ham,Brighton,1,1,0,0,8,4,2,2,0,0
Crystal Palace,Arsenal,1,5,1,3,3,3,2,2,0,0
Everton,Chelsea,0,0,0,0,2,5,4,1,0,0
Fulham,Southampton,0,0,0,0,6,5,1,3,0,0
Leicester,Wolves,0,3,0,3,6,1,2,0,0,0
Man United,Bournemouth,0,3,0,1,13,1,1,3,0,0
Tottenham,Liverpool,3,6,1,3,7,5,1,2,0,0
Man City,Everton,1,1,1,1,8,5,1,4,0,0
Bournemouth,Crystal Palace,0,0,0,0,5,2,2,2,0,0
Chelsea,Fulham,1,2,1,0,3,1,1,3,0,0
Newcastle,Aston Villa,3,0,1,0,9,6,2,1,0,1
Nott'm Forest,Tottenham,1,0,1,0,2,7,3,2,0,1
Southampton,West Ham,0,1,0,0,2,2,1,2,0,0
Wolves,Man United,2,0,0,0,4,4,2,2,0,1
Liverpool,Leicester,3,1,1,1,14,1,3,2,0,0
Brighton,Brentford,0,0,0,0,5,3,0,2,0,0
Arsenal,Ipswich,1,0,1,0,5,1,1,1,0,0
Leicester,Man City,0,2,0,1,4,4,2,1,0,0
Crystal Palace,Southampton,2,1,1,1,8,7,2,3,0,0
Everton,Nott'm Forest,0,2,0,1,5,4,4,1,0,0
Fulham,Bournemouth,2,2,1,0,1,7,1,3,0,0
Tottenham,Wolves,2,2,2,1,5,5,1,2,0,0
West Ham,Liverpool,0,5,0,3,3,6,0,0,0,0
Aston Villa,Brighton,2,2,1,1,12,3,2,3,0,0
Ipswich,Chelsea,2,0,1,0,4,7,4,4,0,0
Man United,Newcastle,0,2,0,2,2,3,1,1,0,0
Brentford,Arsenal,1,3,1,1,4,3,1,2,0,0
Tottenham,Newcastle,1,2,1,2,9,10,1,4,0,0
Aston Villa,Leicester,2,1,0,0,7,2,0,1,0,0
Bournemouth,Everton,1,0,0,0,9,3,2,2,0,0
Crystal Palace,Chelsea,1,1,0,1,6,6,0,2,0,0
Man City,West Ham,4,1,2,0,7,1,2,1,0,0
Southampton,Brentford,0,5,0,1,2,2,2,0,0,0
Brighton,Arsenal,1,1,0,1,2,5,2,3,0,0
Fulham,Ipswich,2,2,0,1,9,2,1,5,0,0
Liverpool,Man United,2,2,0,0,6,9,2,4,0,0
Wolves,Nott'm Forest,0,3,0,2,5,3,1,2,0,0
Brentford,Man City,2,2,0,0,4,5,0,0,0,0
Chelsea,Bournemouth,2,2,1,0,9,3,2,3,0,0
West Ham,Fulham,3,2,2,0,0,3,3,3,0,0
Nott'm Forest,Liverpool,1,1,1,0,0,9,2,1,0,0
Everton,Aston Villa,0,1,0,0,8,5,2,1,0,0
Leicester,Crystal Palace,0,2,0,0,4,3,0,0,0,0
Newcastle,Wolves,3,0,1,0,4,2,0,2,0,0
Arsenal,Tottenham,2,1,2,1,10,4,3,1,0,0
Ipswich,Brighton,0,2,0,0,1,9,2,2,0,0
Man United,Southampton,3,1,0,1,5,4,1,3,0,0
Newcastle,Bournemouth,1,4,1,2,7,6,1,6,0,0
Brentford,Liverpool,0,2,0,0,2,15,2,3,0,0
Leicester,Fulham,0,2,0,0,5,2,3,1,0,0
West Ham,Crystal Palace,0,2,0,0,2,4,1,0,1,0
Arsenal,Aston Villa,2,2,1,0,10,1,2,3,0,0
Everton,Tottenham,3,2,3,0,3,8,2,1,0,0
Man United,Brighton,1,3,1,1,4,2,3,3,0,0
Nott'm Forest,Southampton,3,2,3,0,2,8,0,4,0,0
Ipswich,Man City,0,6,0,3,4,7,0,1,0,0
Chelsea,Wolves,3,1,1,1,3,6,4,2,0,0
Bournemouth,Nott'm Forest,5,0,1,0,3,9,2,3,0,0
Brighton,Everton,0,1,0,1,9,1,3,4,0,0
Liverpool,Ipswich,4,1,3,0,3,4,0,2,0,0
Southampton,Newcastle,1,3,1,2,3,8,1,0,0,0
Wolves,Arsenal,0,1,0,0,1,5,0,1,1,1
Man City,Chelsea,3,1,1,1,2,4,3,2,0,0
Crystal Palace,Brentford,1,2,0,0,4,7,2,2,0,0
Tottenham,Leicester,1,2,1,0,6,4,1,5,0,0
Aston Villa,West Ham,1,1,1,0,4,3,2,3,0,0
Fulham,Man United,0,1,0,0,3,0,0,1,0,0
Nott'm Forest,Brighton,7,0,3,0,4,6,1,3,0,0
Bournemouth,Liverpool,0,2,0,1,3,3,2,3,0,0
Everton,Leicester,4,0,3,0,5,6,0,0,0,0
Ipswich,Southampton,1,2,1,1,1,2,0,3,0,0
Newcastle,Fulham,1,2,1,0,4,7,4,4,0,0
Wolves,Aston Villa,2,0,1,0,5,8,2,3,0,0
Brentford,Tottenham,0,2,0,1,10,3,0,1,0,0
Man United,Crystal Palace,0,2,0,0,11,0,3,1,0,0
Arsenal,Man City,5,1,1,0,5,2,2,0,0,0
Chelsea,West Ham,2,1,0,1,4,3,3,1,0,0
Everton,Liverpool,2,2,1,1,2,3,2,2,1,1
Brighton,Chelsea,3,0,2,0,2,9,1,2,0,0
Leicester,Arsenal,0,2,0,0,3,7,2,1,0,0
Aston Villa,Ipswich,1,1,0,0,16,1,0,3,0,1
Fulham,Nott'm Forest,2,1,1,1,8,4,0,0,0,0
Man City,Newcastle,4,0,3,0,7,4,0,1,0,0
Southampton,Bournemouth,1,3,0,2,4,6,1,3,0,0
West Ham,Brentford,0,1,0,1,9,2,1,1,0,0
Crystal Palace,Everton,1,2,0,1,6,2,0,1,0,0
Liverpool,Wolves,2,1,2,0,4,3,2,2,0,0
Tottenham,Man United,1,0,1,0,10,5,1,2,0,0
Aston Villa,Liverpool,2,2,2,1,6,8,1,0,0,0
Leicester,Brentford,0,4,0,3,5,6,4,0,0,0
Everton,Man United,2,2,2,0,7,9,4,1,0,0
Arsenal,West Ham,0,1,0,1,2,0,1,3,1,0
Bournemouth,Wolves,0,1,0,1,6,7,3,3,1,0
Fulham,Crystal Palace,0,2,0,1,7,7,1,3,0,0
Ipswich,Tottenham,1,4,1,2,4,4,2,1,0,0
Southampton,Brighton,0,4,0,1,5,6,2,0,0,0
Aston Villa,Chelsea,2,1,0,1,2,3,1,3,0,0
Newcastle,Nott'm Forest,4,3,4,1,7,6,1,4,0,0
Man City,Liverpool,0,2,0,2,7,5,0,0,0,0
Brighton,Bournemouth,2,1,1,0,1,9,2,1,0,0
Crystal Palace,Aston Villa,4,1,1,0,3,8,3,1,0,0
Wolves,Fulham,1,2,1,1,7,5,1,3,0,0
Chelsea,Southampton,4,0,3,0,4,2,1,2,0,0
Brentford,Everton,1,1,1,0,2,5,2,1,0,0
Man United,Ipswich,3,2,2,2,5,6,4,4,1,0
Nott'm Forest,Arsenal,0,0,0,0,3,11,1,1,0,0
Tottenham,Man City,0,1,0,1,8,3,3,0,0,0
Liverpool,Newcastle,2,0,1,0,4,2,0,1,0,0
West Ham,Leicester,2,0,2,0,3,3,0,0,0,0
Nott'm Forest,Man City,1,0,0,0,3,2,3,2,0,0
Brighton,Fulham,2,1,1,1,3,7,0,2,0,0
Crystal Palace,Ipswich,1,0,0,0,5,4,4,3,0,0
Liverpool,Southampton,3,1,0,1,6,4,2,1,0,0
Brentford,Aston Villa,0,1,0,0,6,5,2,2,0,0
Wolves,Everton,1,1,1,1,5,5,2,2,0,0
Chelsea,Leicester,1,0,0,0,12,2,1,0,0,0
Tottenham,Bournemouth,2,2,0,1,3,6,3,3,0,0
Man United,Arsenal,1,1,1,0,2,9,0,1,0,0
West Ham,Newcastle,0,1,0,0,3,4,0,1,0,0
Everton,West Ham,1,1,0,0,6,5,1,2,0,0
Ipswich,Nott'm Forest,2,4,0,3,6,3,1,1,0,0
Man City,Brighton,2,2,2,1,4,5,2,5,0,0
Southampton,Wolves,1,2,0,1,5,1,0,0,0,0
Bournemouth,Brentford,1,2,1,1,4,3,3,0,0,0
Arsenal,Chelsea,1,0,1,0,5,4,3,3,0,0
Fulham,Tottenham,2,0,0,0,6,5,0,0,0,0
Leicester,Man United,0,3,0,1,6,4,2,0,0,0
Arsenal,Fulham,2,1,1,0,5,4,1,2,0,0
Wolves,West Ham,1,0,1,0,1,2,4,2,0,0
Nott'm Forest,Man United,1,0,1,0,3,10,1,3,0,0
Bournemouth,Ipswich,1,2,0,1,8,3,1,2,0,0
Brighton,Aston Villa,0,3,0,0,4,0,1,3,0,0
Man City,Leicester,2,0,2,0,5,0,1,4,0,0
Newcastle,Brentford,2,1,1,0,4,5,1,1,0,0
Southampton,Crystal Palace,1,1,1,0,2,2,2,1,0,0
Liverpool,Everton,1,0,0,0,11,5,2,2,0,0
Chelsea,Tottenham,1,0,0,0,4,6,5,5,0,0
Everton,Arsenal,1,1,0,1,3,8,3,1,0,0
Crystal Palace,Brighton,2,1,1,1,2,4,0,1,2,1
Ipswich,Wolves,1,2,1,0,4,8,2,2,0,0
West Ham,Bournemouth,2,2,0,1,4,7,2,2,0,0
Aston Villa,Nott'm Forest,2,1,2,0,4,4,2,2,0,0
Brentford,Chelsea,0,0,0,0,3,6,1,3,0,0
Fulham,Liverpool,3,2,3,1,4,4,3,0,0,0
Tottenham,Southampton,3,1,2,0,4,1,1,1,0,0
Man United,Man City,0,0,0,0,5,3,3,2,0,0
Leicester,Newcastle,0,3,0,3,12,2,2,0,0,0
Man City,Crystal Palace,5,2,2,2,1,4,2,3,0,0
Brighton,Leicester,2,2,1,1,3,6,2,5,0,0
Nott'm Forest,Everton,0,1,0,0,1,7,0,3,0,0
Southampton,Aston Villa,0,3,0,0,2,14,3,1,0,0
Arsenal,Brentford,1,1,0,0,13,5,1,3,0,0
Chelsea,Ipswich,2,2,0,2,15,4,2,2,0,0
Liverpool,West Ham,2,1,1,0,10,3,0,2,0,0
Wolves,Tottenham,4,2,2,0,1,4,1,2,0,0
Newcastle,Man United,4,1,1,1,7,2,0,2,0,0
Bournemouth,Fulham,1,0,1,0,6,9,3,2,0,0
Newcastle,Crystal Palace,5,0,4,0,5,4,2,3,0,0
Brentford,Brighton,4,2,1,1,4,8,3,3,0,1
Crystal Palace,Bournemouth,0,0,0,0,5,4,3,4,1,0
Everton,Man City,0,2,0,0,2,5,4,0,0,0
West Ham,Southampton,1,1,0,0,2,5,2,1,0,0
Aston Villa,Newcastle,4,1,1,1,7,7,1,3,0,0
Fulham,Chelsea,1,2,1,0,6,4,1,3,0,0
Ipswich,Arsenal,0,4,0,2,0,12,0,0,1,0
Man United,Wolves,0,1,0,0,9,2,2,3,0,0
Leicester,Liverpool,0,1,0,0,1,13,1,2,0,0
Tottenham,Nott'm Forest,1,2,0,2,7,1,1,4,0,0
Man City,Aston Villa,2,1,1,1,10,2,3,3,0,0
Arsenal,Crystal Palace,2,2,2,1,3,6,1,1,0,0
Chelsea,Everton,1,0,1,0,10,2,0,0,0,0
Brighton,West Ham,3,2,1,0,8,1,1,1,0,0
Newcastle,Ipswich,3,0,1,0,11,2,1,2,0,1
Southampton,Fulham,1,2,1,0,0,13,1,1,0,0
Wolves,Leicester,3,0,1,0,4,2,1,4,0,0
Bournemouth,Man United,1,1,1,0,5,10,4,2,1,0
Liverpool,Tottenham,5,1,3,1,8,2,2,1,0,0
Nott'm Forest,Brentford,0,2,0,1,4,5,3,5,0,0
Man City,Wolves,1,0,1,0,4,5,0,0,0,0
Aston Villa,Fulham,1,0,1,0,5,3,0,5,0,0
Everton,Ipswich,2,2,2,1,3,3,4,4,0,0
Leicester,Southampton,2,0,2,0,7,7,1,3,0,0
Arsenal,Bournemouth,1,2,1,0,2,3,0,2,0,0
Brentford,Man United,4,3,2,1,7,4,0,2,0,0
Brighton,Newcastle,1,1,1,0,1,4,2,1,0,0
West Ham,Tottenham,1,1,1,1,1,3,2,2,0,0
Chelsea,Liverpool,3,1,1,0,3,6,2,2,0,0
Crystal Palace,Nott'm Forest,1,1,0,0,7,4,3,8,0,0
Fulham,Everton,1,3,1,1,5,5,1,0,0,0
Ipswich,Brentford,0,1,0,1,5,6,2,4,0,0
Southampton,Man City,0,0,0,0,1,15,2,0,0,0
Wolves,Brighton,0,2,0,1,7,4,1,1,0,0
Bournemouth,Aston Villa,0,1,0,1,10,0,4,3,0,1
Newcastle,Chelsea,2,0,1,0,2,8,4,2,0,1
Man United,West Ham,0,2,0,1,8,5,0,1,0,0
Nott'm Forest,Leicester,2,2,1,1,4,4,3,3,0,0
Tottenham,Crystal Palace,0,2,0,1,4,8,1,1,0,0
Liverpool,Arsenal,2,2,2,0,3,1,1,1,0,1
Aston Villa,Tottenham,2,0,0,0,9,1,1,2,0,0
Chelsea,Man United,1,0,0,0,7,2,1,6,0,0
Everton,Southampton,2,0,2,0,4,5,1,1,0,0
West Ham,Nott'm Forest,1,2,0,1,8,7,6,3,0,0
Brentford,Fulham,2,3,2,1,5,3,4,4,0,0
Leicester,Ipswich,2,0,1,0,2,2,1,0,0,0
Arsenal,Newcastle,1,0,0,0,10,7,3,3,0,0
Brighton,Liverpool,3,2,1,2,3,3,1,0,0,0
Crystal Palace,Wolves,4,2,2,1,0,10,1,2,0,0
Man City,Bournemouth,3,1,2,0,3,1,1,3,1,1
Bournemouth,Leicester,2,0,0,0,6,1,0,2,0,0
Fulham,Man City,0,2,0,1,1,6,0,0,0,0
Ipswich,West Ham,1,3,0,1,4,0,1,1,0,0
Liverpool,Crystal Palace,1,1,0,1,11,0,1,0,1,0
Man United,Aston Villa,2,0,0,0,4,3,2,2,0,1
Newcastle,Everton,0,1,0,0,12,3,1,4,0,0
Nott'm Forest,Chelsea,0,1,0,0,7,4,2,2,0,0
Southampton,Arsenal,1,2,0,1,5,8,0,0,0,0
